
LITENGINE, A BITEBYBYTE SOFTWARE DIVISION PRODUCT
00:20:30.967 info: engine, begin launch bootstrap process
00:20:32.850 info: engine, user entered selection
00:20:32.850 info: engine, launch bootstrap process completed with response : continue
00:20:32.850 info: engine, program to continue execution
00:20:32.850 info: debug, generic, loaded new path from preferences logs/
00:20:32.850 success: debug, generic, successfully written to new address :  logs/log at Jul 26 00-19-19 2026.txt
00:20:32.851 success: debug, generic, temporary file deleted successfullyThe operation completed successfully.
00:20:33.098 info: vulkan, validation layer: type { General } msg: --- WELCOME TO LITENGINE ---
00:20:33.109 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_KHRONOS_validation" (C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.dll)
00:20:33.109 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_OBS_HOOK" (C:\ProgramData\obs-studio-hook\graphics-hook64.dll)
00:20:33.109 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_NV_present" (C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll)
00:20:33.109 info: vulkan, validation layer: type { General } msg: Inserted device layer "VK_LAYER_NV_optimus" (C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll)
00:20:33.109 info: vulkan, validation layer: type { General } msg: vkCreateDevice layer callstack setup to:
00:20:33.109 info: vulkan, validation layer: type { General } msg:    <Application>
00:20:33.109 info: vulkan, validation layer: type { General } msg:      ||
00:20:33.109 info: vulkan, validation layer: type { General } msg:    <Loader>
00:20:33.109 info: vulkan, validation layer: type { General } msg:      ||
00:20:33.109 info: vulkan, validation layer: type { General } msg:    VK_LAYER_NV_optimus
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Type: Implicit
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Enabled By: Implicit Layer
00:20:33.109 info: vulkan, validation layer: type { General } msg:                Disable Env Var:  DISABLE_LAYER_NV_OPTIMUS_1
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Manifest: C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nv-vk64.json
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Library:  C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll
00:20:33.109 info: vulkan, validation layer: type { General } msg:      ||
00:20:33.109 info: vulkan, validation layer: type { General } msg:    VK_LAYER_NV_present
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Type: Implicit
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Enabled By: Implicit Layer
00:20:33.109 info: vulkan, validation layer: type { General } msg:                Disable Env Var:  DISABLE_LAYER_NV_GR2608_1
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Manifest: C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nv-vk64.json
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Library:  C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll
00:20:33.109 info: vulkan, validation layer: type { General } msg:      ||
00:20:33.109 info: vulkan, validation layer: type { General } msg:    VK_LAYER_OBS_HOOK
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Type: Implicit
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Enabled By: Implicit Layer
00:20:33.109 info: vulkan, validation layer: type { General } msg:                Disable Env Var:  DISABLE_VULKAN_OBS_CAPTURE
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Manifest: C:\ProgramData\obs-studio-hook\obs-vulkan64.json
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Library:  C:\ProgramData\obs-studio-hook\graphics-hook64.dll
00:20:33.109 info: vulkan, validation layer: type { General } msg:      ||
00:20:33.109 info: vulkan, validation layer: type { General } msg:    VK_LAYER_KHRONOS_validation
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Type: Explicit
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Enabled By: By the Application
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Manifest: C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.json
00:20:33.109 info: vulkan, validation layer: type { General } msg:            Library:  C:\VulkanSDK\1.4.341.1\Bin\VkLayer_khronos_validation.dll
00:20:33.109 info: vulkan, validation layer: type { General } msg:      ||
00:20:33.109 info: vulkan, validation layer: type { General } msg:    <Device>
00:20:33.110 info: vulkan, validation layer: type { General } msg:        Using "Quadro P4000" with driver: "C:\Windows\System32\DriverStore\FileRepository\nv_dispwi.inf_amd64_36bb8311c64d75ec\nvoglv64.dll"
00:20:33.329 event: engine, Spinning up User Interface...
00:20:33.340 event: engine, Init image viewport
00:20:33.365 event: engine, Init editor viewport
00:20:33.369 info: engine, Making swap image0
00:20:33.370 info: engine, Making swap image1
00:20:33.372 info: engine, create desc set layoud
00:20:33.372 info: engine, create pipeline
00:20:33.372 info: engine, create skinned pipeline
00:20:33.373 info: engine, create synchronization
00:20:33.373 info: engine, create command buffer
00:20:33.373 info: engine, load files
00:20:33.826 info: engine, create sampler
